Tipo	Departamento	Titulo	Objetivo	Dominant_Topic	Dominant_Words
Administrativos	AREQUIPA	Ejecución de la obra: Mejoramiento y ampliación del sistema de agua potable y alcantarillado de los anexos Cahuanota, Acchapuna, Yanque, Queñuamarca, Chanchallay, Yachanguillo y Santa Catalina del distrito de Chichas, Condesuyos, Arequipa	"Mejoramiento y ampliación del sistema de agua potable y alcantarillado de los anexos Cahuanota, Acchapuna, Yanque, Queñuamarca, Chanchallay, Yachanguillo y Santa Catalina del distrito de Chichas, Condesuyos, Arequipa", se realizó de acuerdo a las especificaciones técnicas, términos contractuales y normativa legal vigente. Periodo: 12 de noviembre de 2015 al 31 de diciembre de 2016	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Ejecución de la Obra: Instalación del servicio del sistema de agua potable y alcantarillado del circuito del Reservorio N-38 del Cono Norte distrito de Yura, provincia y departamento de Arequipa - II Etapa	"Instalación del servicio del sistema de agua potable y alcantarillado del circuito del Reservorio N-38 del Cono Norte distrito de Yura, provincia y departamento de Arequipa- II Etapa", se haya ejecutado en conformidad a lo establecido a la normativa legal vigente y estipulaciones contractuales. Periodo: 1 de enero de 2018 al 30 de setiembre de 2020	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Contratación del servicio de elaboración de planos básicos arancelarios para la determinación de valores arancelarios de los terrenos urbanos existentes y nuevos del distrito de Socabaya	Establecer si la contratación de servicios, ejecución y conformidad se realizaron de acuerdo a la normativa aplicable, disposiciones internas y estipulaciones contractuales	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Auditoria de Cumplimiento: Contratación y ejecución de la obra: Mejoramiento y modernización de los servicios básicos y complementarios de la piscina municipal en el PP .JJ. Jorge Chávez.	Determinar si la contratación y ejecución de la obra pública por contrata se efectuó de acuerdo a la normativa aplicable, disposiciones internas y formalidades contractuales establecidas.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Proceso de contratación del servicio de confección de mobiliario escolar, para el proyecto: Mejoramiento de los servicios educativos prestados en el nivel inicial y primaria de la I.E. N.° 41031 Madre del Divino Amor - Mariano Melgar - Arequipa	Determinar si el proceso de contratación del servicio de confección de mobiliario escolar para el proyecto: "Mejoramiento de los servicios educativos prestados en el nivel inicial y primaria de la I.E. N° 41031 Madre del Divino Amor - Mariano Melgar - Arequipa", código SNIP 210012, se efectuó de acuerdo a la normativa legal vigente aplicable, disposiciones contractuales e internas y en concordancia con los objetivos institucionales de la entidad.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Adquisición de suministros de impresión (tóneres), para las diferentes áreas de la Municipalidad Distrital de Cayma	Determinar si las adquisiciones de suministros de impresión para el período 2019 y 2020 efectuadas por la Municipalidad Distrital de Cayma, se realizaron conforme a lo establecido en la normativa aplicable.	21	0.028*"control" + 0.025*"entidad" + 0.022*"informe" + 0.020*"municipalidad" + 0.019*"distrital" + 0.015*"hecho" + 0.015*"posterior" + 0.014*"funcionario" + 0.013*"uso" + 0.012*"articulo"
Administrativos	AREQUIPA	Contratación de servicios de consultoría o asesoría para la determinación de los valores arancelarios de terrenos urbanos en el Distrito de Yanahuara	Determinar si la contratación del servicio de consultoría o asesoría para la determinación o actualización de los valores arancelarios de terrenos urbanos ubicados en el Distrito de Yanahuara para efectos de la determinación del impuesto predial 2013, 2014 y 2017 se realizó con sujeción a la normativa legal aplicable y estipulaciones contractuales.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Auditoría de Cumplimiento a la Municipalidad Distrital de Paucarpata: Adquisiciones de bienes para el mantenimiento de obras	Determinar, si las contrataciones de bienes en el período 2015 para el mantenimiento de obras se llevaron a cabo conforme a la normativa aplicable, disposiciones internas y formalidades establecidas.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Gestión de Recursos Humanos de la Municipalidad Distrital de Alto Selva Alegre	Determinar si la administración del área de recursos humanos de la municipalidad distrital de Alto Selva Alegre, se ejecuta de acuerdo a la normatividad legal vigente y pertinente.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Designaciones en cargos de confianza y directivos superiores y proceso de contratación del servicio de consultoría para el análisis de las modificaciones a la Ley N° 30056 - Ley del impuesto al desarrollo productivo y crecimiento empresarial	Determinar si la designación de cargos de confianza y directivos superiores; así como, si la contratación del servicio de consultoría para el "Análisis de las modificaciones a la Ley N° 30056 - Ley del impulso al desarrollo productivo y crecimiento empresarial", se realizó de conformidad a la normativa vigente. Período: 2 de enero de 2015 al 31 de diciembre de 2016	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Ejecución de la obra: Mejoramiento de la infraestructura del club deportivo Estrella, distrito Mariscal Cáceres, provincia Camaná - Arequipa.	Determinar si la firma del convenio interinstitucional y la ejecución de la obra Mejoramiento de la infraestructura del club deportivo Estrella, distrito Mariscal Cáceres, provincia Camaná - Arequipa, se realizaron de conformidad con la normativa aplicable y en cumplimiento de los principios de eficiencia, economía y calidad. Periodo: 2 de enero al 31 de octubre de 2019	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Auditoria de Cumplimiento al Proceso Clásico de Servicio de Actualización de Valores Arancelarios de Terrenos Urbanos para Efecto del Impuesto Predial de Municipalidad Distrital de Alto Selva Alegre	Determinar si el proceso de contratación y la ejecución del servicio de actualización de valores arancelarios de terrenos urbanos para efecto del impuesto predial de la Municipalidad Distrital de Alto Selva Alegre, se ejecutaron de acuerdo a las normas legales vigentes y pertinentes.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Las Contrataciones Excluidas de Servicio de Mantenimiento y Reparación de Vehículos Motorizados	Determinar la razonabilidad en las contrataciones al servicio de mantenimiento y reparación de vehículos motorizados, si se sujetaron a la normativa aplicable en la materia y en el marco del uso eficiente y transparente de los recursos de la	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Auditoría de Cumplimiento: Ejecución del ítem captación y ampliaciones de plazo de la obra "Mejoramiento del servicio de agua potable y creación del servicio de alcantarillado en los anexos de Malata y Cosñirhua"	Determinar si el proceso constructivo del ítem captación y las aprobaciones de la ampliación de plazo de la obra: "Mejoramiento del servicio de agua potable y creación del servicio de alcantarillado en los anexos de Malata y Cosñirhua, distrito de Tapay, provincia de Caylloma, región Arequipa", se llevaron a cabo de acuerdo a la normativa aplicable y las estipulaciones contractuales. Período: 2 de setiembre de 2015 al 11 de diciembre de 2017.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Contrataciones para la elaboración de Directiva y Expediente Tecnico realizados por la Municipalidad Distrital de Yanahuara durante el periodo 2016	Determinar si las adquisiciones de bienes y servicios cuyos montos son iguales o inferiores a Ocho (8) Unidades Impositivas Tributarias efectuadas por la Municipalidad Distrital de Yanahuara, cuentan con la justificación para obtener bienes, servicios en la oportunidad, calidad y costos requeridos; en el marco de las normas legales vigentes aplicables.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Alquiler de Campos Deportivos Municipales	Determinar si se realizó el cobro correspondiente por el Alquiler de Campos Deportivos de la municipalidad distrital de Jacobo Hunter de acuerdo a lo establecido en el TUSNE de la	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Gestión de Recaudación de Tributos Municipales de la Municipalidad Distrital de Alto Selva Alegre, Provincia Arequipa, Región Arequipa	Establecer si la administración de la Gerencia de Administración Tributaria de la Municipalidad Distrital de Alto Selva Alegre, durante los años 2015 y 2016, cumplió con ejecutar los procedimientos adecuados en cuanto a los procesos de recaudación y cobranza de tributos municipales, en concordancia a la normatividad legal vigente y pertinente.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Servicio de consultoría para la elaboración del expediente técnico de la obra: Instalación del servicio de agua del sistema de riego en las localidades de Huaynacotas, Piramarca, Visbe, Luicho y Antabamba, del distrito de Huaynacotas, provincia de La Unión - Arequipa.	Establecer si el proceso de contratación para la elaboración del expediente técnico de la obra: "Instalación del servicio de agua del sistema de riego en las localidades de Huaynacotas, Piramarca, Visbe, Luicho y Antabamba, del distrito de Huaynacotas, provincia de La Unión - Arequipa", se realizó de acuerdo a especificaciones técnicas, contractuales y normativa legal vigente. Periodo: 1 de enero de 2016 al 31 de diciembre de 2017	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Ejecución Contractual de la AS N° 012-2018- MDC- CS-2 adquisición de vehículos para el mejoramiento de la gestión integral de residuos sólidos municipales de Cayma, Ítem 1: camión baranda de 15 m3	Determinar si la ejecución contractual de la Adjudicación Simplificada N° 012-2018- MDC- CS-2 ítem 1: Camión baranda de 15 m3, para el mejoramiento de la gestión integral de residuos sólidos municipales de Cayma se realizó de acuerdo a la normativa aplicable vigente y disposiciones internas de la	12	0.050*"control" + 0.037*"informe" + 0.028*"obra" + 0.025*"hecho" + 0.024*"posterior" + 0.019*"entidad" + 0.017*"especifico" + 0.015*"funcionario" + 0.015*"residuos_solido" + 0.015*"distrito"
Administrativos	AREQUIPA	Proceso de Contratación Adjudicación Simplificada N° 21-2018- MDC- OEC para la adquisición de uniformes de trabajo para personal del D. Leg. 276 y D. Leg. 728	Establecer si el proceso de contratación Adjudicación Simplificada N° 021-2018- MDC- OEC, para la adquisición de uniformes de trabajo para personal del DL. 276 y 728 y contrataciones vinculadas a este, se realizaron de acuerdo a la normativa aplicable vigente y disposiciones internas de la	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Servicio de consultoría para la elaboración de 3 estudios de preinversión a nivel de perfil en el distrito de Tiabaya - provincia y departamento de Arequipa	Determinar si el procedimiento y ejecución de la contratación de servicios de consultoría para la elaboración de estudios de preinversión a nivel de perfil de los proyectos: "Mejoramiento de la transitabilidad peatonal y vehicular de la asociación El Bosque y 11 de setiembre - distrito de Tiabaya - provincia de Arequipa - departamento de Arequipa"; "Mejoramiento y ampliación de la vía desde la calle Grau hasta el pueblo tradicional Los Tunales, distrito de Tiabaya- provincia de Arequipa- departamento de Arequipa" y "Mejoramiento y ampliación de la vía principal que une el PP . JJ Micaela Bastidas y El Cural- distrito de Tiabaya- provincia de Arequipa- departamento de Arequipa", se realizaron de acuerdo a la normativa aplicable y estipulaciones contractuales. Período: 1 de julio al 31 de diciembre de 2018	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Auditoría de Cumplimiento: "Adquisición de controladores electrónicos para semáforos y contratación del servicio de mantenimiento de la red de semaforización"	Determinar si la entidad realizó la adquisición de controladores electrónicos para semáforos y la contratación del servicio de mantenimiento para la red de semaforización del distrito de acuerdo a la normativa aplicable, disposiciones internas y estipulaciones contractuales. Período: 1 de enero de 2017 al 31 de diciembre de 2018	3	0.029*"servicio" + 0.028*"disponer" + 0.023*"control" + 0.019*"municipal" + 0.018*"subgerencia" + 0.015*"contratación" + 0.014*"gerencia" + 0.013*"municipalidad" + 0.013*"logistico" + 0.011*"administrativo"
Administrativos	AREQUIPA	Licitación Pública N° 002-2019- MDVY- I: Mejoramiento de la transitabilidad vehicular y peatonal de la Calle Progreso desde la Plaza de Yarabamba hasta el empalme con la Vía Interconectora	Licitación Pública N° 002-2019- MDVY- I Convocatoria de la obra denominada "Mejoramiento de la transitabilidad vehicular y peatonal de la Calle Progreso desde la Plaza de Yarabamba hasta el empalme con la Vía Interconectora Distrito de Yarabamba - Provincia de Arequipa - Región Arequipa", se realizó dentro del marco normativo aplicable y vigente de las contrataciones con el Estado. Periodo: 2 de enero al 2 de septiembre de 2019	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Auditoría de cumplimiento: Obra: mejoramiento de la transitabilidad vehicular y peatonal en la vía troncal del asentamiento humano La Mansión I distrito de Socabaya- Arequipa- Arequipa	Establecer si los procesos de contratación pública, elaboración del expediente técnico, ejecución y supervisión de la obra "Mejoramiento de la transitabilidad vehicular y peatonal en la vía troncal del asentamiento humano La Mansión I, distrito de Socabaya - Arequipa - Arequipa" se realizaron en observancia de las normativas legales vigentes aplicables, disposiciones internas y estipulaciones contractuales establecidas. Periodo: 1 de enero de 2015 al 31 de diciembre de 2016	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Contratación y otorgamiento de conformidad a la adquisición de camionetas	Determinar si el procedimiento de selección para la adquisición de dos camionetas equipadas para el mejoramiento del servicio de seguridad ciudadana del distrito de Cháparra, y su ejecución contractual, se realizó bajo criterios de transparencia, eficiencia, eficacia y economía; cumpliendo con las disposiciones establecidas en la normativa que la regula. Periodo: 1 de febrero de 2019 al 31 de enero de 2020	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Suspensión del plazo de ejecución de la obra mejoramiento de 27 parques recreativos en Cayma, distrito de Cayma, Arequipa, Arequipa, IV Etapa	Determinar si la suspensión del plazo de ejecución de la obra mejoramiento de 27 parques recreativos en Cayma, distrito de Cayma, Arequipa, Arequipa, IV Etapa, se llevó a cabo en cumplimiento de la normativa aplicable. Periodo: 1 de mayo de 2018 al 30 de septiembre de 2019	12	0.050*"control" + 0.037*"informe" + 0.028*"obra" + 0.025*"hecho" + 0.024*"posterior" + 0.019*"entidad" + 0.017*"especifico" + 0.015*"funcionario" + 0.015*"residuos_solido" + 0.015*"distrito"
Administrativos	AREQUIPA	Auditoría de cumplimiento: Ejecución de la ficha de mantenimiento del Mercado Municipal San Martín de Porres de Tiabaya, distrito de Tiabaya, Arequipa	Determinar si la ejecución contractual y el pago del servicio de "Mantenimiento del Mercado Municipal San Martín de Porres de Tiabaya - distrito de Tiabaya - Arequipa", de la municipalidad distrital de Tiabaya; se ha efectuado de conformidad con la normativa aplicable, disposiciones internas y estipulaciones contractuales establecidas. Período: 1 de febrero al 15 de mayo de 2018	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Proceso de selección y ejecución de la obra creación del complejo deportivo Teófilo El Nene Cubillas en la Asociación Urbanizadora Perúarbo, causó perjuicio a la Entidad de S/ 416 022,45.	Determinar el cumplimiento de la legalidad en los procesos de selección convocados y en la ejecución de la obra creación del complejo deportivo Teófilo El Nene Cubillas en la Asociación Urbanizadora Perúarbo.	23	0.101*"obra" + 0.019*"publica" + 0.017*"informe" + 0.017*"tecnico" + 0.014*"construccion" + 0.014*"gerente" + 0.013*"entidad" + 0.012*"mejoramiento" + 0.012*"adicional" + 0.012*"expediente"
Administrativos	AREQUIPA	Ejecución de partidas de la Obra construcción de muros de contención Urb. La Campiña, distrito de Socabaya, Arequipa, Arequipa, II etapa	Determinar si la ejecución de partidas "Concreto en sub cimiento corrido", "Concreto para muros de sostenimiento" y "Demolición de muros de concreto" del expediente contractual y el expediente adicional deductivo Nº 1 de la obra "Construcción de muros de contención Urb. la campiña, distrito de Socabaya, Arequipa, Arequipa, II etapa", se realizaron en observancia a la normativa aplicable, disposiciones internas y estipulaciones contractuales. Período: 1 de diciembre de 2016 al 5 de octubre de 2017	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Entrega y recepción del componente: Adquisición de vehículos modernos con equipamiento, de la obra: Mejoramiento de la capacidad del servicio de vigilancia de la seguridad ciudadana en el distrito de Socabaya, Arequipa - Arequipa	Determinar si la entrega y recepción del componente "Adquisición de vehículo modernos con equipamiento" de la obra: Mejoramiento de la Capacidad del Servicio de Vigilancia de la Seguridad Ciudadana en el distrito de Socabaya, Arequipa - Arequipa, se realizó en observancia a la normativa aplicable, disposiciones internas y estipulaciones contractuales. Periodo: 2 de noviembre de 2016 al 31 de diciembre de 2018	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Ejecución contractual de la Adjudicación Simplificada N ° 03-2019- MDCH: Adquisición de semirremolque para el fortalecimiento, mejoramiento y ampliación de la capacidad operativa del pool de maquinarias	Determinar si el procedimiento de selección para la adquisición de un semirremolque plataforma cama baja para el fortalecimiento, mejoramiento y ampliación de la capacidad operativa del pool de maquinarias para la Municipalidad Distrital de Cháparra, y su ejecución contractual, se realizó bajo criterios de transparencia, eficiencia, eficacia y economía; cumpliendo con las disposiciones establecidas en la normativa que la regula. Periodo: 1 de enero de 2019 al 31 de enero de 2020	12	0.050*"control" + 0.037*"informe" + 0.028*"obra" + 0.025*"hecho" + 0.024*"posterior" + 0.019*"entidad" + 0.017*"especifico" + 0.015*"funcionario" + 0.015*"residuos_solido" + 0.015*"distrito"
Administrativos	AREQUIPA	Auditoría de Cumplimiento: "Ejecución de la ficha de mantenimiento del Complejo Deportivo del Pueblo Tradicional de Pampas Nuevas, distrito de Tiabaya, Arequipa"	Determinar si la ejecución contractual y el pago del servicio de "Mantenimiento del Complejo Deportivo del Pueblo Tradicional de Pampas Nuevas, distrito de Tiabaya - Arequipa"; se ha efectuado de conformidad con la normativa aplicable, disposiciones internas y estipulaciones contractuales establecidas. Periodo: 15 de febrero al 15 de junio de 2018.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
